bubble,client,epochs,mae,mase,num_samples,rmse,round,smape,stage,strategy,train_samples,wmape
0,TX_3_HOUSEHOLD_1,,18.743457794189453,3.1874489784240723,2436,25.116092681884766,1,36.765506863594055,federated,Global FedAvg,11865,0.33673116634091693
0,TX_3_HOUSEHOLD_2,,4.547055244445801,3.2795393466949463,2624,7.032610893249512,1,70.87953090667725,federated,Global FedAvg,12749,0.5007542979076255
0,WI_1_FOODS_1,,21.135366439819336,4.430144786834717,2612,27.58896827697754,1,44.900405406951904,federated,Global FedAvg,12689,0.33160685807216933
0,WI_1_FOODS_2,,16.273632049560547,4.863468170166016,2323,24.57478141784668,1,51.02394223213196,federated,Global FedAvg,11336,0.3782218130633632
0,WI_1_FOODS_3,,29.89314079284668,4.306619644165039,2720,45.79430389404297,1,30.309247970581055,federated,Global FedAvg,13200,0.2554864958067872
0,WI_1_HOBBIES_1,,13.193241119384766,2.5562684535980225,2699,16.993410110473633,1,29.068559408187866,federated,Global FedAvg,13102,0.2763867132924589
0,WI_1_HOBBIES_2,,2.7280707359313965,3.3963167667388916,2719,4.2262067794799805,1,98.05124998092651,federated,Global FedAvg,13195,0.6697024217615387
0,WI_1_HOUSEHOLD_1,,12.91346263885498,3.2502601146698,2502,16.868532180786133,1,37.34621703624725,federated,Global FedAvg,12174,0.33947090045674966
0,WI_1_HOUSEHOLD_2,,3.7794318199157715,2.773754358291626,2101,4.987576484680176,1,42.53172278404236,federated,Global FedAvg,10308,0.3345235887339556
0,WI_2_FOODS_1,,41.76513671875,5.561351776123047,2494,72.05557250976562,1,49.078088998794556,federated,Global FedAvg,12135,0.444677939908281
0,WI_2_FOODS_2,,46.425254821777344,4.773860454559326,2409,82.32447814941406,1,69.42599415779114,federated,Global FedAvg,11738,0.488238873245564
0,WI_2_FOODS_3,,76.39505767822266,4.167515277862549,2712,99.99298858642578,1,64.7079586982727,federated,Global FedAvg,13161,0.46911642044758767
0,WI_2_HOBBIES_1,,8.699140548706055,2.364596128463745,2681,11.246719360351562,1,40.72484076023102,federated,Global FedAvg,13013,0.3557629581483227
0,WI_2_HOBBIES_2,,4.568781852722168,5.9168524742126465,2539,8.49383544921875,1,99.01289939880371,federated,Global FedAvg,12352,0.7109670075573296
0,WI_2_HOUSEHOLD_1,,29.303457260131836,3.260000705718994,2114,39.625823974609375,1,39.8693323135376,federated,Global FedAvg,10348,0.30084895663859756
0,WI_2_HOUSEHOLD_2,,5.432782173156738,3.507498025894165,2283,9.731561660766602,1,42.559367418289185,federated,Global FedAvg,11145,0.40954406446040625
0,WI_3_FOODS_1,,24.076929092407227,4.749632358551025,2568,32.74652099609375,1,52.11095213890076,federated,Global FedAvg,12483,0.3988077265118812
0,WI_3_FOODS_2,,17.759084701538086,2.697253465652466,2672,26.50040626525879,1,59.26327109336853,federated,Global FedAvg,12974,0.37360758861434257
0,WI_3_FOODS_3,,54.46276092529297,3.5913820266723633,2659,81.28860473632812,1,28.1068354845047,federated,Global FedAvg,12916,0.21793661652036048
0,WI_3_HOBBIES_1,,9.806349754333496,2.623361110687256,2720,12.332880020141602,1,40.610164403915405,federated,Global FedAvg,13200,0.36364378301801453
0,WI_3_HOBBIES_2,,2.720428228378296,3.1907272338867188,2718,4.3412251472473145,1,112.38585710525513,federated,Global FedAvg,13190,0.7114523259338387
0,WI_3_HOUSEHOLD_1,,13.218161582946777,2.215632677078247,2436,17.893665313720703,1,27.069231867790222,federated,Global FedAvg,11865,0.24279842409211094
0,WI_3_HOUSEHOLD_2,,5.425627708435059,4.173990726470947,2608,10.104095458984375,1,55.80175518989563,federated,Global FedAvg,12670,0.5299440885873076
0,CA_1_FOODS_1,,19.126548767089844,3.2294259071350098,2506,24.537742614746094,2,51.31773352622986,federated,Global FedAvg,12195,0.42557783199479465
