bubble,client,epochs,num_samples,rmse,round,smape,stage,strategy,train_samples
0,CA_1_HOUSEHOLD_1,,2173,15.772078514099121,2,25.969567894935608,federated,Global FedAvg,10634
0,CA_1_HOUSEHOLD_2,,2720,5.520261764526367,2,58.717626333236694,federated,Global FedAvg,13200
0,CA_2_FOODS_1,,2605,25.21563148498535,2,44.85257863998413,federated,Global FedAvg,12660
0,CA_2_FOODS_2,,2720,12.231403350830078,2,56.371498107910156,federated,Global FedAvg,13200
0,CA_2_FOODS_3,,2613,57.47941207885742,2,47.42296636104584,federated,Global FedAvg,12700
0,CA_2_HOBBIES_1,,2720,16.7128849029541,2,41.45878553390503,federated,Global FedAvg,13200
0,CA_2_HOBBIES_2,,2485,8.853692054748535,2,75.0220537185669,federated,Global FedAvg,12102
0,CA_2_HOUSEHOLD_1,,2570,14.997308731079102,2,33.87449383735657,federated,Global FedAvg,12493
0,CA_2_HOUSEHOLD_2,,2533,9.65537166595459,2,47.06501066684723,federated,Global FedAvg,12327
0,CA_3_FOODS_1,,2505,32.42778015136719,2,55.912941694259644,federated,Global FedAvg,12189
0,CA_3_FOODS_2,,2720,25.46143341064453,2,38.36047053337097,federated,Global FedAvg,13200
0,CA_3_FOODS_3,,2670,133.14886474609375,2,50.32321810722351,federated,Global FedAvg,12965
0,CA_3_HOBBIES_1,,2655,34.07374572753906,2,35.230615735054016,federated,Global FedAvg,12891
0,CA_3_HOBBIES_2,,2644,7.7545881271362305,2,70.53223848342896,federated,Global FedAvg,12842
0,CA_3_HOUSEHOLD_1,,2231,31.595401763916016,2,25.97630023956299,federated,Global FedAvg,10904
0,CA_3_HOUSEHOLD_2,,2696,10.868309020996094,2,52.046382427215576,federated,Global FedAvg,13081
0,CA_4_FOODS_1,,2450,17.909896850585938,2,29.619532823562622,federated,Global FedAvg,11935
0,CA_4_FOODS_2,,2643,11.720349311828613,2,41.50476157665253,federated,Global FedAvg,12837
0,CA_4_FOODS_3,,2720,34.30866622924805,2,56.21715784072876,federated,Global FedAvg,13200
0,CA_4_HOBBIES_1,,2649,20.044889450073242,2,35.43927073478699,federated,Global FedAvg,12860
0,CA_4_HOBBIES_2,,2567,4.01204776763916,2,111.92408800125122,federated,Global FedAvg,12478
0,CA_4_HOUSEHOLD_1,,2470,8.018715858459473,2,36.64551377296448,federated,Global FedAvg,12028
0,CA_4_HOUSEHOLD_2,,2547,9.751059532165527,2,67.15307235717773,federated,Global FedAvg,12391
0,TX_1_FOODS_1,,2375,22.56161880493164,2,56.89401030540466,federated,Global FedAvg,11577
0,TX_1_FOODS_2,,2720,18.8615665435791,2,45.94390094280243,federated,Global FedAvg,13200
0,TX_1_FOODS_3,,2670,59.07850646972656,2,24.36664253473282,federated,Global FedAvg,12965
0,TX_1_HOBBIES_1,,2720,15.195648193359375,2,58.19973945617676,federated,Global FedAvg,13200
0,TX_1_HOBBIES_2,,2660,6.208463668823242,2,90.59740900993347,federated,Global FedAvg,12915
0,TX_1_HOUSEHOLD_1,,2454,22.258750915527344,2,35.73518395423889,federated,Global FedAvg,11949
0,TX_1_HOUSEHOLD_2,,2308,29.61857795715332,2,58.05150270462036,federated,Global FedAvg,11268
0,TX_2_FOODS_1,,2521,20.465612411499023,2,56.75842761993408,federated,Global FedAvg,12263
0,TX_2_FOODS_2,,2720,18.39447021484375,2,52.01011300086975,federated,Global FedAvg,13200
0,TX_2_FOODS_3,,2720,78.68909454345703,2,28.167882561683655,federated,Global FedAvg,13200
0,TX_2_HOBBIES_1,,2720,13.477627754211426,2,45.05653977394104,federated,Global FedAvg,13200
0,TX_2_HOBBIES_2,,2658,8.610298156738281,2,80.93122243881226,federated,Global FedAvg,12911
0,TX_2_HOUSEHOLD_1,,2504,32.7507209777832,2,55.357277393341064,federated,Global FedAvg,12184
0,TX_2_HOUSEHOLD_2,,2624,5.848903179168701,2,43.62536072731018,federated,Global FedAvg,12749
0,TX_3_FOODS_1,,2528,36.8632698059082,2,45.05303204059601,federated,Global FedAvg,12293
0,TX_3_FOODS_2,,2714,19.598331451416016,2,50.589555501937866,federated,Global FedAvg,13170
0,TX_3_FOODS_3,,2720,69.72813415527344,2,28.077101707458496,federated,Global FedAvg,13200
0,TX_3_HOBBIES_1,,2361,30.712064743041992,2,45.40420472621918,federated,Global FedAvg,11524
0,TX_3_HOBBIES_2,,2651,8.52068042755127,2,118.46818923950195,federated,Global FedAvg,12876
0,TX_3_HOUSEHOLD_1,,2436,23.95096206665039,2,35.85094213485718,federated,Global FedAvg,11865
0,TX_3_HOUSEHOLD_2,,2624,6.64475679397583,2,70.77518105506897,federated,Global FedAvg,12749
0,WI_1_FOODS_1,,2612,27.115135192871094,2,44.51965093612671,federated,Global FedAvg,12689
0,WI_1_FOODS_2,,2323,22.113061904907227,2,47.635725140571594,federated,Global FedAvg,11336
0,WI_1_FOODS_3,,2720,39.49864959716797,2,28.804638981819153,federated,Global FedAvg,13200
0,WI_1_HOBBIES_1,,2699,17.70207977294922,2,30.014166235923767,federated,Global FedAvg,13102
0,WI_1_HOBBIES_2,,2719,4.1244635581970215,2,97.92703986167908,federated,Global FedAvg,13195
0,WI_1_HOUSEHOLD_1,,2502,16.720714569091797,2,37.19671368598938,federated,Global FedAvg,12174
0,WI_1_HOUSEHOLD_2,,2101,4.801623821258545,2,41.974613070487976,federated,Global FedAvg,10308
0,WI_2_FOODS_1,,2494,58.950714111328125,2,46.235767006874084,federated,Global FedAvg,12135
0,WI_2_FOODS_2,,2409,75.6920166015625,2,67.24722981452942,federated,Global FedAvg,11738
0,WI_2_FOODS_3,,2712,97.30647277832031,2,63.650816679000854,federated,Global FedAvg,13161
0,WI_2_HOBBIES_1,,2681,11.255782127380371,2,40.65936207771301,federated,Global FedAvg,13013
0,WI_2_HOBBIES_2,,2539,8.089165687561035,2,96.99900150299072,federated,Global FedAvg,12352
0,WI_2_HOUSEHOLD_1,,2114,35.335487365722656,2,38.503021001815796,federated,Global FedAvg,10348
0,WI_2_HOUSEHOLD_2,,2283,8.923931121826172,2,40.54754972457886,federated,Global FedAvg,11145
0,WI_3_FOODS_1,,2568,30.589405059814453,2,50.716036558151245,federated,Global FedAvg,12483
0,WI_3_FOODS_2,,2672,26.128934860229492,2,59.609055519104004,federated,Global FedAvg,12974
0,WI_3_FOODS_3,,2659,76.16324615478516,2,27.522394061088562,federated,Global FedAvg,12916
0,WI_3_HOBBIES_1,,2720,12.407716751098633,2,40.79509973526001,federated,Global FedAvg,13200
0,WI_3_HOBBIES_2,,2718,4.179825305938721,2,110.89279651641846,federated,Global FedAvg,13190
0,WI_3_HOUSEHOLD_1,,2436,17.327312469482422,2,26.37779414653778,federated,Global FedAvg,11865
0,WI_3_HOUSEHOLD_2,,2608,9.351268768310547,2,53.95243167877197,federated,Global FedAvg,12670
0,CA_1_FOODS_1,,2506,23.553794860839844,3,50.08646249771118,federated,Global FedAvg,12195
0,CA_1_FOODS_2,,2720,20.85944366455078,3,48.63511621952057,federated,Global FedAvg,13200
0,CA_1_FOODS_3,,2670,71.77660369873047,3,48.02790284156799,federated,Global FedAvg,12965
0,CA_1_HOBBIES_1,,2707,25.727689743041992,3,40.888360142707825,federated,Global FedAvg,13136
0,CA_1_HOBBIES_2,,2482,7.137542247772217,3,87.98846006393433,federated,Global FedAvg,12087
0,CA_1_HOUSEHOLD_1,,2173,15.2598295211792,3,25.117725133895874,federated,Global FedAvg,10634
0,CA_1_HOUSEHOLD_2,,2720,5.179293155670166,3,58.06788206100464,federated,Global FedAvg,13200
0,CA_2_FOODS_1,,2605,25.239688873291016,3,44.858843088150024,federated,Global FedAvg,12660
0,CA_2_FOODS_2,,2720,11.841312408447266,3,56.02002143859863,federated,Global FedAvg,13200
0,CA_2_FOODS_3,,2613,54.38798141479492,3,46.670326590538025,federated,Global FedAvg,12700
0,CA_2_HOBBIES_1,,2720,16.674671173095703,3,41.486144065856934,federated,Global FedAvg,13200
0,CA_2_HOBBIES_2,,2485,8.761832237243652,3,75.00353455543518,federated,Global FedAvg,12102
0,CA_2_HOUSEHOLD_1,,2570,14.819547653198242,3,33.48402380943298,federated,Global FedAvg,12493
0,CA_2_HOUSEHOLD_2,,2533,9.627202987670898,3,46.99799120426178,federated,Global FedAvg,12327
0,CA_3_FOODS_1,,2505,32.015106201171875,3,55.69890737533569,federated,Global FedAvg,12189
0,CA_3_FOODS_2,,2720,24.903959274291992,3,37.808677554130554,federated,Global FedAvg,13200
0,CA_3_FOODS_3,,2670,132.21014404296875,3,50.473666191101074,federated,Global FedAvg,12965
0,CA_3_HOBBIES_1,,2655,32.67756652832031,3,35.029324889183044,federated,Global FedAvg,12891
0,CA_3_HOBBIES_2,,2644,7.640031337738037,3,70.20723223686218,federated,Global FedAvg,12842
0,CA_3_HOUSEHOLD_1,,2231,30.969228744506836,3,25.234347581863403,federated,Global FedAvg,10904
0,CA_3_HOUSEHOLD_2,,2696,10.546767234802246,3,51.74253582954407,federated,Global FedAvg,13081
0,CA_4_FOODS_1,,2450,17.6929988861084,3,29.31133508682251,federated,Global FedAvg,11935
0,CA_4_FOODS_2,,2643,11.519697189331055,3,41.502845287323,federated,Global FedAvg,12837
0,CA_4_FOODS_3,,2720,33.44210433959961,3,56.27252459526062,federated,Global FedAvg,13200
0,CA_4_HOBBIES_1,,2649,19.972537994384766,3,35.43761670589447,federated,Global FedAvg,12860
